incidentid,weaponcaliber,weapondetails,weapontype
19900531TXSUF,.22 caliber,,Handgun
19900824NCMYC,Unknown,,Handgun
19900827NVELL,Unknown,,Handgun
19900827TXWHD,Unknown,,Handgun
19900911TXSAS,.45 caliber,,Handgun
19900922ALLEB,Unknown,,Handgun
19901002TXWHD,Unknown,,Handgun
19901029INCHC,.44 caliber,,Handgun
19901030TXNAG,.25 caliber,,Handgun
19901213LASAS,,,No Data
19910108TXRIR,.357 caliber,,Handgun
19910117TXHOD,Unknown,,Handgun
19910219LABON,Unknown,,Handgun
19910313ALSES,.22 caliber,,Handgun
19910314SCWOP,,,No Data
19910325NCGAC,,,No Data
19910411SCNOR,.22 caliber,,Handgun
19910423CARAC,,,No Data
19910423MSHUB,.22 caliber,,Handgun
19910510OHFRC,Unknown,,Handgun
19910516KSCOK,.22 caliber,,Rifle
19910521CAROS,Unknown,,Handgun
19910521FLSCP,.22 caliber,,Handgun
19910722CAWEL,.22 caliber,,Handgun
19910730CAENC,Unknown,,Handgun
19910913TXMAH,Unknown,,Handgun
19910917ILWOC,Unknown,,Handgun
19910918TXCRC,.38 caliber,,Handgun
19911002TXSPH,.25 caliber,,Handgun
19911004CADOL,Unknown,,Handgun
19911004CAROL,Unknown,,Handgun
19911009NYJAB,Unknown,,Handgun
19911011MAMAR,.22 caliber,,Handgun
19911015NHMOS,Unknown,,Rifle
19911015SCWOW,Unknown,,Handgun
19911015TXGEP,.22 caliber,,Rifle
19911023TXOAD,Unknown,,Handgun
19911106LAWAN,Unknown,,Handgun
19911111TXYSE,Unknown,,Handgun
19911114TXMIH,Unknown,,Handgun
19911125NYTHB,9mm,,Handgun
19911226NCWHW,Unknown,,Handgun
19920128LAFRG,Unknown,,Handgun
19920131LAFRG,Unknown,,Handgun
19920206OKDOO,,,No Data
19920207VABON,Unknown,,Handgun
19920226NYTHB,.38 caliber,,Handgun
19920305OHHAO,Unknown,,Handgun
19920331LAOPA,Unknown,,Handgun
19920409FLFOF,Unknown,,Handgun
19920417TXLID,,,No Data
19920501CALIO,.22 caliber,Shotgun and .22 rifle,Rifle
19920501CALIO,Unknown,Shotgun and .22 rifle,Shotgun
19920514CASIN,.357 caliber,,Handgun
19920514TXHUH,Unknown,,Handgun
19920529CAVEL,,,No Data
19920606CAMEM,Unknown,,Handgun
19920911TXPAA,.22 caliber,,Handgun
19920928CAHIS,Unknown,,Handgun
19920930TXHOH,Unknown,,Shotgun
19921013AZDET,.22 caliber,,Handgun
19921019NYEVB,Unknown,,Rifle
19921104MIFID,Unknown,,Multiple Unknown
19921104MIMAD,,,No Data
19921104MIMUD,Unknown,,Handgun
19921110ILSHC,.22 caliber,,Handgun
19921113TXLAC,.45 caliber,,Handgun
19921116ALFAB,Unknown,,Handgun
19921120ILTIC,.22 caliber,,Handgun
19921124ALROM,Unknown,,Handgun
19921130ILORC,Unknown,,Handgun
19921203ILWOC,.357 caliber,,Handgun
19921214NYWAW,.357 caliber,,Handgun
19930105NYBRB,,,No Data
19930112FLNOM,Unknown,,Handgun
19930118KYEAG,.38 caliber,,Handgun
19930121CAFAL,.357 caliber,,Handgun
19930201NYAMA,.22 caliber,,Handgun
19930201WARER,,,No Data
19930204GACLA,Unknown,,Handgun
19930208DCWAW,Unknown,,Handgun
19930208MNMIM,.30-30,,Rifle
19930222CAREL,Unknown,,Handgun
19930226MAGLG,,,No Data
19930308VADOD,.38 caliber,,Handgun
19930318GAHAH,Unknown,,Handgun
19930325MOSUS,Unknown,,Handgun
19930403CAGRS,Unknown,,Shotgun
19930415MAFOA,Unknown,,Shotgun
19930416CAGRS,Unknown,,Handgun
19930416WAMOT,.357 caliber,,Handgun
19930514TXNII,.38 caliber,,Handgun
19930524PAUPP,.22 caliber,,Handgun
19930527LAFRN,Unknown,,Handgun
19930707CADOL,Unknown,,Handgun
19930803NYTHN,Unknown,,Handgun
19930831GAHAA,.22 caliber,,Handgun
19930901KSJUJ,Unknown,,Handgun
19930902TXROD,Unknown,,Handgun
19930916ILROC,,,No Data
19930917ILDOD,.25 caliber,,Handgun
19930917WYCES,Unknown,"Owned multiple firearms, military",Multiple Unknown
19930925DCWEW,Unknown,,Handgun
19930928MSCOG,.22 caliber,,Handgun
19931012DEDON,.25 caliber,,Handgun
19931018DCJHW,Unknown,,Handgun
19931101ILSUC,Unknown,,Handgun
19931104CTNEN,,,No Data
19931104FLTEJ,Unknown,,Handgun
19931104MSBAB,,,No Data
19931111ILRIS,Unknown,,Handgun
19931201WIWAW,,,No Data
19931202CTNEN,,,No Data
19931208GABES,Unknown,,Handgun
19931215CACHS,Unknown,,Handgun
19931217MICHC,Unknown,,Handgun
19940120CALOH,,,No Data
19940121TXKEK,.30-30,,Rifle
19940124SCEAC,.22 caliber,,Handgun
19940126DCELW,,,No Data
19940126DCPAW,9mm,,Handgun
19940127CAWAS,Unknown,,Unknown
19940131WAWHS,Semiautomatic,,Rifle
19940208MIOSD,,,No Data
19940218SCSPS,9mm,,Handgun
19940301MOKEB,Unknown,,Shotgun
19940303ALENB,Unknown,,Handgun
19940309DCEAW,Unknown,,Handgun
19940315SCGOC,,,No Data
19940323WABAS,,,No Data
19940325GAETC,9mm,,Handgun
19940405TXMCA,Unknown,,Handgun
19940408MDLAU,9mm,,Handgun
19940412MTMAB,.22 caliber,,Handgun
19940413CA49L,.38 caliber,,Handgun
19940419DCELW,,,No Data
19940420INDIS,Unknown,,Handgun
19940421TNJTN,.25 caliber,,Handgun
19940502FLNON,.38 caliber,,Handgun
19940525INLAS,.22 caliber,,Handgun
19940525NJLAW,.357 caliber,,Handgun
19940526KYLAU,Unknown,,Handgun
19940724PAMAM,,,No Data
19940725IAOTO,Unknown,,Handgun
19940907CAHOL,,,No Data
19940908NYSWA,.22 caliber,,Handgun
19940919CALOL,,,No Data
19940922ORLEL,.22 caliber,,Handgun
19941012NCGRG,,,No Data
19941017ILHUC,Unknown,,Handgun
19941031CAALA,.45 caliber,,Handgun
19941105CATHS,Unknown,,Handgun
19941107OHWIW,,,No Data
19941108IAWEM,,,No Data
19941115WASTT,Unknown,,Handgun
19950105DCCAW,.38 caliber,,Handgun
19950110FLPAP,.25 caliber,,Handgun
19950112WAGAS,9mm,,Handgun
19950123CASAR,Unknown,,Shotgun
19950124DCSPW,Unknown,,Handgun
19950202CAJOL,Unknown,,Handgun
19950208NECHS,Unknown,,Handgun
19950303MIPED,Unknown,,Handgun
19950327MIRED,.22 caliber,,Handgun
19950614FLLAL,.45 caliber,,Handgun
19950829TXMEL,Unknown,,Shotgun
19950912TNCYM,.38 caliber,,Handgun
19950914KSOLO,.22 caliber,,Handgun
19950915KYGEW,Unknown,,Multiple Handguns
19950927ALBLP,Unknown,,Handgun
19950929FLTAT,9mm,,Handgun
19951012SCBLB,.32 caliber,,Handgun
19951023FLLAC,.25 caliber,,Handgun
19951030VAJOR,.38 caliber,,Handgun
19951102FLBLM,,,No Data
19951115TNRIL,.22 caliber,,Rifle
19951128NYTHN,.25 caliber,,Handgun
19960102PAGIG,,,No Data
19960119DCWIW,,,No Data
19960126TNEAM,Unknown,,Handgun
19960202WAFRM,Unknown,Rifle and 2 handguns taken from father,Handgun
19960202WAFRM,Unknown,Rifle and 2 handguns taken from father,Handgun
19960202WAFRM,.30-30,Rifle and 2 handguns taken from father,Rifle
19960208CAMIM,.38 caliber,,Unknown
19960222GAJES,.38 caliber,,Handgun
19960229MOBES,9mm,,Handgun
19960311NCNON,9mm,,Handgun
19960319NVSWL,Pellet,,Other
19960411ALTAT,12 gauge,,Shotgun
19960415DCMCW,,,No Data
19960514UTBIT,.357 caliber,,Handgun
19960522CACOC,Unknown,,Handgun
19960604CAWEH,,,No Data
19960726CAJOL,9mm,,Handgun
19960925GADED,,,No Data
19961002PASMP,,,No Data
19961004CASTP,,,No Data
19961009ARJAS,,,No Data
19961014MOSUS,,,No Data
19961127CAHIS,Service Weapon,,Handgun
19970108NYCRN,Unknown,,Handgun
19970127FLCOW,.38 caliber,,Handgun
19970206MSWIJ,9mm,,Handgun
19970213NYMOB,.25 caliber,,Handgun
19970213NYSAB,Unknown,,Handgun
19970219AKBEB,12 gauge,,Shotgun
